iso3,share_pct,resolved,sids,ldc,population,t_per_capita,t_per_musd,net_all,net_developing,net_sids_ldc
ERI,0.0034822297284814,False,False,True,3607003.0,0.0344891923850399,60.24335227347484,43.71879722490627,53.87736544671707,439.90705226389053
GNB,0.0029223110756642,False,True,True,2249515.0,0.0464097960767207,41.298422482843726,42.526736855738264,52.68530507754906,438.7149918947225
PLW,0.0026087496380503,False,True,False,17663.0,5.276428316985815,270.137835834552,-480.47511523516886,-527.6428316985791,-84.28686019618456
GRD,0.002396740611911,False,True,False,117303.0,0.729934725756678,60.290907747730536,-25.82575611225676,-15.667187890445959,370.3624989267275
VCT,0.0019143826635592,False,True,False,99924.0,0.6844331742851015,54.48541247006738,-21.275600965096846,-11.117032743286048,374.9126540738874
KNA,0.0018983333433563,False,True,False,46922.0,1.4453335047936933,57.30214599124361,-97.36563401595515,-144.5333504793654,298.82262102302906
TKM,0.0013512675608696,False,False,False,7618847.0,0.006336131883252,0.9688010239221,46.53410327508503,56.69267149689583,-0.6336131883251994
STP,0.0013493367767476,False,True,True,240254.0,0.2006419961702304,49.12397552220277,27.103516846387677,37.26208506819847,423.29177188537193
DMA,0.0013339516776288,False,True,False,65871.0,0.7234657078803574,65.83518695280932,-25.178854324624705,-15.020286102813913,371.0094007143596
AZE,0.0012586859862221,False,False,False,10246996.0,0.0043882659474479,0.5921508678758263,46.72888986866545,56.88745809047624,-0.4388265947447857
TUV,0.0008237508667863,False,True,True,9492.0,3.1003467178860618,513.1793149040459,-262.8669553251702,-252.70838710335934,133.3212997138141
NRU,0.0008217237680115,False,True,False,12025.0,2.4412534689214045,166.75792789383698,-196.9576304287063,-244.12534689211654,199.23062461027797
KAZ,0.0003828720604242,False,False,False,20843754.0,0.000656220579509,0.0446647584568205,47.10209440545933,57.260662627270136,-0.06562205795090181
PRK,0.0001685597241792,False,False,False,26571036.0,0.0002266300181994,,47.14505346159031,57.30362168340111,-0.022663001819927763
PRY,8.705022583545516e-05,True,False,False,7013078.0,0.0004434384448298,0.0631083656241954,47.12337261892724,57.281940840738045,-0.044343844482980684
MDA,4.011127368446188e-06,False,False,False,2360527.0,6.07057165716147e-05,0.0070410238529003,47.16164589175307,57.320214113563864,-0.006070571657161469
